Categoría,Subcategoria,APLICA EN LAS METAS ACTUALES,Fecha,Manifiesto,Nombre de Residuo,Peso Disposición Final (kg) ,Canal o Mecanismo de recolección,Tipo de Gestión (proceso),certificado ,Gestor ,Centro de acopio,Razón social del generador,Nit,Responsable del envío,Correo ,Dirección,Departamento,Ciudad,Latitud,Longitud,utm_x,utm_y,utm_zona
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-09-03,11531,ORDENADORES PERSONALES O PORTATILES,5.7,Centro de Acopio,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,COMPAÑÍA DE SEGUROS POSITIVA,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,Autopista NORTE 94-72,"BOGOTA, D. C.","BOGOTA, D. C.",4.68241,-74.05743,604541.41,517628.75,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-08-04,9513,TELEVISORES,97.0,Centro de Acopio,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,COMPLEJO MILITAR CAN- MINISTERIO DEFENSA,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,KR 54 26 25,"BOGOTA, D. C.","BOGOTA, D. C.",4.643465,-74.095643,600308.33,513317.76,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-11-29,11685,APARATOS ELECTRODOMESTICOS,32.0,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,Concejo de Bogotá,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,CL 36 # 28A - 41,"BOGOTA, D. C.","BOGOTA, D. C.",4.625,-74.0778,602290.24,511278.98,18N
2. Electrónica y Equipos de Telecomunicación,2.6 Equipos de electrónica de potencia,SI,2024-07-25,11688,UPS O FUENTES DE PODER,23.0,Gestionado por Reconecta,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,CONJUNTO COMERCIAL CAPITAL TOWERS P.H.,900836968-7,LEONARDO BENAVIDES,test@signify.com,AC 24 51 40,"BOGOTA, D. C.","BOGOTA, D. C.",4.639066,-74.098259,600018.77,512831.08,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-08-09,10756,TERMINALES DE TELEX,16.0,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,CONJUNTO MEDITERRÁNEO,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,CL 159 54 42,"BOGOTA, D. C.","BOGOTA, D. C.",4.74075,-74.055018,604800.21,524078.74,18N
3. Maquinaria y Equipo Eléctrico,3.2 Equipo industrial,SI,2024-07-17,9534,"HERRAMIENTAS PARA MOLDEAR, TORNEAR, PULIR, PUNZAR, PLEGAR, CORTAR Y SOLDAR",32.0,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,CONJUNTO PARQUES DE PONTEVEDRA,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,KR 70C 80 48,"BOGOTA, D. C.","BOGOTA, D. C.",4.693799,-74.085551,601420.57,518883.69,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-12-22,10765,APARATOS DE GRABACION DE VIDEO,3.0,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,CONJUNTO RESIDENCIAL ARBOLEDA DE SOTILEZA,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,CL 128B 60 57,"BOGOTA, D. C.","BOGOTA, D. C.",4.718327,-74.074709,602619.55,521596.89,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-04-30,11520,CELULARES,1.5,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,CONJUNTO RESIDENCIAL PORVENIR RESERVADO 4,830143447-3,Ana Maria Suarez,test@portal80.com.co,CL 52 SUR # 97 - 68,"BOGOTA, D. C.","BOGOTA, D. C.",4.64046,-74.18676,590201.6,512973.3,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-11-25,11033,IMPRESORAS Y SCANNER,195.0,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,CONJUNTO RESIDENCIAL SIERRAS DEL ESTE,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,KR 2 E 61 05,"BOGOTA, D. C.","BOGOTA, D. C.",4.643271,-74.054279,604896.72,513302.31,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-11-11,10559,SERVIDORES,32.0,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,CONJUNTO RESIDENCIA MADELENA URBANO I,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,CL 60 S 68B 23,"BOGOTA, D. C.","BOGOTA, D. C.",4.592772,-74.159567,593224.18,507704.96,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-02-10,11741,APARATOS DE CALEFACCIÓN ELÉCTRICOS,66.0,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,CONSTRUCTORA BOLIVAR,830143447-3,Ana Maria Suarez,test@portal80.com.co,CL 134 72 31,"BOGOTA, D. C.","BOGOTA, D. C.",4.726306,-74.072179,602898.99,522479.36,18N
3. Maquinaria y Equipo Eléctrico,3.3 Equipos de control y proteción,SI,2024-03-29,9679,SWITCH,10.0,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,CONTRALORIA DE BOGOTA,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,KR 32A 26A 10,"BOGOTA, D. C.","BOGOTA, D. C.",4.629355,-74.08218,601803.75,511759.8,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-07-10,10661,TABLETAS,1.2,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,CONTROLES EMPRESARIALES SAS,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,KR 16A 75 29,"BOGOTA, D. C.","BOGOTA, D. C.",4.66299,-74.060549,604198.31,515481.36,18N
2. Electrónica y Equipos de Telecomunicación,2.5 Electrónica de consumo,SI,2024-06-03,11839,AMPLIFICADOR DE SONIDO,1.0,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,COPIDROGAS IMPERIAL DE DROGAS,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,KR 69B 35 06 S,"BOGOTA, D. C.","BOGOTA, D. C.",4.61272,-74.137863,595629.19,509913.06,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-01-08,10242,MODEM,2.8,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,COPSERVIR LTDA. LA REBAJA DROGUERÍA,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,KR 19 143A 38,"BOGOTA, D. C.","BOGOTA, D. C.",4.725747,-74.04578,605827.09,522421.52,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-09-16,11984,MAQUINAS DE COSER,100.25,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,CORABASTOS S.A.,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,AK 80 2 51,"BOGOTA, D. C.","BOGOTA, D. C.",4.632628,-74.154123,593822.87,512111.72,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-07-18,10803,APARATOS ELECTRODOMESTICOS/HORNOS DE MICROONDAS,21.7,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,CORPARQUES,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,KR 71D 1 14 S,"BOGOTA, D. C.","BOGOTA, D. C.",4.622079,-74.136852,595740.09,510947.84,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-04-18,10623,TONNER Y CARTUCHOS EN DESUSO,4.0,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,CORPOCHICO,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,KR 11A 90 16,"BOGOTA, D. C.","BOGOTA, D. C.",4.672718,-74.049381,605435.66,516558.48,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-12-30,10545,TONER DE IMPRESORA/APROVECHAMIENTO,80.0,Centro de Acopio,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,CORPORACION CLUB CAMPESTRE GUAYMARAL,830143447-3,Ana Maria Suarez,test@portal80.com.co,AK 45 245 01,"BOGOTA, D. C.","BOGOTA, D. C.",4.820784,-74.035572,606944.59,532929.73,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-03-02,9910,REPUESTOS O PARTES DE PC/PORTATILES,5.0,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,Corporación de Taxis de Colombia S.A,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,AC 9 50 15,"BOGOTA, D. C.","BOGOTA, D. C.",4.626789,-74.107851,598956.47,511472.5,18N
2. Electrónica y Equipos de Telecomunicación,2.3 Componentes electrónicos,SI,2024-04-13,9522,PANELES FOTOVOLTAICOS,28.0,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,CORPORACIÓN EDUCACIÓN TECNOLÓGICA COLSUBSIDIO,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,CL 128 A 51 52,"BOGOTA, D. C.","BOGOTA, D. C.",4.71367,-74.058428,604426.05,521084.47,18N
3. Maquinaria y Equipo Eléctrico,3.2 Equipo industrial,SI,2024-03-28,10264,"HERRAMIENTAS PARA MOLDEAR, TORNEAR, PULIR, PUNZAR, PLEGAR, CORTAR Y SOLDAR",32.0,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,CORPORACIÓN EDUCACIÓN TECNOLÓGICA COLSUBSIDIO,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,KR 14 A 71 29,"BOGOTA, D. C.","BOGOTA, D. C.",4.65883,-74.062838,603945.02,515021.13,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-03-31,11400,MONITORES,10.0,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,CORPORACION EMPRESARIAL CL SA,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,AC 9 50 15,"BOGOTA, D. C.","BOGOTA, D. C.",4.626789,-74.107851,598956.47,511472.5,18N
3. Maquinaria y Equipo Eléctrico,3.12 Refrigeración y equipos de acondicionamiento de aire industriales,SI,2024-08-23,11849,MÁQUINAS DISPENSADORAS DE BEBIDAS CALIENTES,14.2,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,Corporación Minuto de Dios,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,TV 53 70 40 Sur,"BOGOTA, D. C.","BOGOTA, D. C.",4.576342,-74.16432,592699.04,505888.02,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-07-07,10772,OTROS APARATOS DE LIMPIEZA QUE NO SEAN ASPIRADORAS O LIMPIA MOQUETAS,0.6,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,Corporación Minuto de Dios,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,AC 80 81 73,"BOGOTA, D. C.","BOGOTA, D. C.",4.700446,-74.097862,600054.11,519616.75,18N
3. Maquinaria y Equipo Eléctrico,3.4 Equipos de iluminación,SI,2024-09-05,9788,BOMBILLOS COMPACTOS - SIGNIFY,1.4,Gestionado por Reconecta,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,Corporación Minuto de Dios,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,TV 73A 82 61,"BOGOTA, D. C.","BOGOTA, D. C.",4.702139,-74.09011,600913.69,519805.03,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-12-21,10398,VIDEOCAMARAS,2.86,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,CORPORACIÓN PUNTO AZUL,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,CL 86 19A 21,"BOGOTA, D. C.","BOGOTA, D. C.",4.672601,-74.05776,604506.26,516544.29,18N
3. Maquinaria y Equipo Eléctrico,3.12 Refrigeración y equipos de acondicionamiento de aire industriales,SI,2024-10-31,9949,MÁQUINAS DISPENSADORAS DE BEBIDAS CALIENTES,14.2,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,Creaciones Isabella Betancur,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,KR 17 14 18 Sur,"BOGOTA, D. C.","BOGOTA, D. C.",4.58635901,-74.09870805,599976.33,507004.21,18N
1. Aparatos electrodomésticos,1.8 Equipos de acondicionamiento de aire,SI,2024-03-10,10847,APARATOS DE AIRE ACONDICIONADO,96.0,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,CRUZ VERDE CAE,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,AUTOPISTA NORTE # 108 A- 50,"BOGOTA, D. C.","BOGOTA, D. C.",4.696094,-74.05532,604773.41,519141.86,18N
2. Electrónica y Equipos de Telecomunicación,2.7 Equipos de instrumentación y control,SI,2024-07-15,10856,BASCULA,2.1,Centro de Acopio,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,CRUZ VERDE EDIFICIO AVIANCA,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,CL 16 6 66,"BOGOTA, D. C.","BOGOTA, D. C.",4.602432,-74.072486,602882.97,508784.82,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-05-12,9014,OTROS APARATOS DE LIMPIEZA QUE NO SEAN ASPIRADORAS O LIMPIA MOQUETAS,30.4,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,CST AKT LA 1RA BOGOTÁ,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,CL 22 S 28 70,"BOGOTA, D. C.","BOGOTA, D. C.",4.590715,-74.109826,598742.36,507484.23,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-05-13,11887,"OTROS PRODUCTOS O APARATOS UTILIZADOS PARA REGISTRAR O REPRODUCIR SONIDO O IMAGENES, INCLUIDAS LAS SEÑALES Y TECNOLOGIAS DE DISTRIBUCION DEL SONIDO E IMAGEN DE LA COMUNICACION",1.9,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,CST La 72,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,AC 72 25 28,"BOGOTA, D. C.","BOGOTA, D. C.",4.663667,-74.067787,603395.35,515555.14,18N
1. Aparatos electrodomésticos,1.7 Enseres menores personales,SI,2024-03-01,11458,"APARATOS PARA CORTAR EL PELO, PARA SECAR EL PELO, PARA CEPILLARSE LOS DIENTES, MAQUINAS PARA AFEITAR, APARATOS DE MASAJE Y OTROS CUIDADOS CORPORALES",29.4,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,CUN SEDE CENTRO,830143447-3,Ana Maria Suarez,test@portal80.com.co,KR 11 4 79,"BOGOTA, D. C.","BOGOTA, D. C.",4.594491,-74.082769,601743.37,507905.46,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-08-07,11270,CELULARES,3.0,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,D1 MATATIGRES,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,CL 32 SUR 26 F 27,"BOGOTA, D. C.","BOGOTA, D. C.",4.588232,-74.11716,597929.12,507208.72,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-06-20,11626,TELEVISORES,97.0,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,Daniela Ferrucho,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,CL 91 59 43,"BOGOTA, D. C.","BOGOTA, D. C.",4.680141003,-74.066809771,603501.33,517376.52,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-02-12,9692,IMPRESORAS Y SCANNER,8.0,Gestionado por Reconecta,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,Daniel Guevara,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,CL 36 Sur 51 90,"BOGOTA, D. C.","BOGOTA, D. C.",4.600627927,-74.126913023,596845.51,508577.77,18N
1. Aparatos electrodomésticos,1.5 Enseres menores de cocina,SI,2024-05-20,11547,"MOLINOS, CAFETERAS Y APARATOS PARA ABRIR O PRECINTAR ENVASES O PAQUETES",1350.0,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,DATA PHARMACEUTICAL SERVICES SAS,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,CL 151 7B 02,"BOGOTA, D. C.","BOGOTA, D. C.",4.725994,-74.026444,607971.7,522451.8,18N
1. Aparatos electrodomésticos,1.5 Enseres menores de cocina,SI,2024-10-01,11300,OTROS GRANDES APARATOS UTILIZADOS PARA COCINAR Y EN OTROS PROCESOS DE TRANSFORMACION DE LOS ALIMENTOS. APARATOS DE CALEFACCION ELECTRICOS,89.0,Centro de Acopio,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,DEFENSORÍA DEL PUEBLO CALLE 55,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,CL 55 10 03,"BOGOTA, D. C.","BOGOTA, D. C.",4.641779,-74.063796,603841.25,513135.96,18N
1. Aparatos electrodomésticos,1.1 Cocinas y hornos,SI,2024-11-28,10419,HORNOS DE MICROONDAS,45.0,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,DEFENSORÍA DEL PUEBLO CARRERA 9,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,KR 9 16 21,"BOGOTA, D. C.","BOGOTA, D. C.",4.603932,-74.074534,602655.56,508950.35,18N
2. Electrónica y Equipos de Telecomunicación,2.6 Equipos de electrónica de potencia,SI,2024-10-21,10415,UPS O FUENTES DE PODER,265.0,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,DEP. ADMINISTRATIVO DEL SERVICIO CIVIL,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,AK 30 25 90,"BOGOTA, D. C.","BOGOTA, D. C.",4.625614,-74.081564,601872.62,511346.32,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-04-24,10974,"OTROS PRODUCTOS O APARATOS DE TRANSMISION DE SONIDO, IMAGENES U OTRA INFORMACION POR TELECOMUNICACION",39.62,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,DESARROLLO QUIMICO FARMACEUTICO DQSA,830143447-3,Ana Maria Suarez,test@portal80.com.co,AK 129 22B 57,"BOGOTA, D. C.","BOGOTA, D. C.",4.695534,-74.158355,593345.12,519065.37,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-06-04,11436,FREIDORAS,20.0,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,DHL GLOBAL FORWARDING,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,CL 26 102 20,"BOGOTA, D. C.","BOGOTA, D. C.",4.689495,-74.130208,596467.91,518401.57,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-10-11,9470,VIDEOCAMARAS,41.06,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,Diana Acosta,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,KR 75A 62D 30 Sur,"BOGOTA, D. C.","BOGOTA, D. C.",4.589303231,-74.175205954,591489.77,507319.47,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-07-11,10213,MAQUINAS DE COSER,108.8,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,Diana Carolina Vargas Parrado,900836968-7,LEONARDO BENAVIDES,test@signify.com,KR 114D 145 24,"BOGOTA, D. C.","BOGOTA, D. C.",4.75063684,-74.10361135,599409.25,525164.58,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-03-07,10206,APARATOS DE GRABACION DE VIDEO,3.0,Gestionado por Reconecta,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,Diana Marcela Osorio Valderrama,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,CL 42 Sur 24B 25,"BOGOTA, D. C.","BOGOTA, D. C.",4.580817281,-74.124428729,597123.77,506388.04,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-11-30,11068,TELÉFONOS CONVENCIONALES,17.89,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,Diana Sofia Hernández,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,CL 152 54 39,"BOGOTA, D. C.","BOGOTA, D. C.",4.735325887,-74.056484958,604638.32,523478.87,18N
1. Aparatos electrodomésticos,1.8 Equipos de acondicionamiento de aire,SI,2024-05-17,11354,APARATOS DE AIRE ACONDICIONADO,292.0,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,DIAN - NIVEL CENTRAL,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,KR 7 6C 54,"BOGOTA, D. C.","BOGOTA, D. C.",4.594135,-74.077628,602313.74,507866.84,18N
2. Electrónica y Equipos de Telecomunicación,2.6 Equipos de electrónica de potencia,SI,2024-01-16,10333,UPS O FUENTES DE PODER,86.07,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,DIAN - SEDE MINISTERIO DE HACIENDA,830143447-3,Ana Maria Suarez,test@portal80.com.co,KR 6 15 32,"BOGOTA, D. C.","BOGOTA, D. C.",4.601679,-74.072246,602909.7,508701.61,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-09-29,10819,COMPUTADORES TODO EN UNO,15.48,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,DIDACOL (HI ) AMÉRICAS,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,AV Américas 39A 11,"BOGOTA, D. C.","BOGOTA, D. C.",4.62676,-74.09484,600399.76,511471.12,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-02-21,10081,"OTROS PRODUCTOS O APARATOS DE TRANSMISION DE SONIDO, IMAGENES U OTRA INFORMACION POR TELECOMUNICACION",13.31,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,DIDACOL (HI ) FONTIBÓN,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,DG 16 96I 78,"BOGOTA, D. C.","BOGOTA, D. C.",4.664829,-74.149391,594343.48,515672.15,18N
3. Maquinaria y Equipo Eléctrico,3.11 Pilas y acumuladores,SI,2024-06-17,9478,PILAS,1.0,Centro de Acopio,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,DILE TUNJUELITO,830143447-3,Ana Maria Suarez,test@portal80.com.co,CL 48B S 27 05,"BOGOTA, D. C.","BOGOTA, D. C.",4.581804,-74.131828,596302.8,506496.12,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-12-02,10574,HORNOS DE MICROONDAS/ APARATOS ELECTRODOMESTICOS,67.0,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,DIPRO,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,CL 14 65 08,"BOGOTA, D. C.","BOGOTA, D. C.",4.635439,-74.114368,598232.36,512427.86,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-10-03,9762,APARATOS DE CALEFACCIÓN ELÉCTRICOS,46.0,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,DIRECCIÓN DE SANIDAD,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,CL 44 50 51,"BOGOTA, D. C.","BOGOTA, D. C.",4.642533,-74.090956,600828.37,513215.39,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-08-07,9036,APARATOS ELECTRODOMESTICOS,457.01,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,DIRECCIÓN DE SANIDAD DEL EJERCITO,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,KR 7 52 48,"BOGOTA, D. C.","BOGOTA, D. C.",4.638798,-74.062941,603936.53,512806.53,18N
2. Electrónica y Equipos de Telecomunicación,2.7 Equipos de instrumentación y control,SI,2024-08-28,10658,OTROS INSTRUMENTOS DE VIGILANCIA Y CONTROL UTILIZADOS EN INSTALACIONES INDUSTRIALES,252.0,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,DIRECCIÓN DE SANIDAD FUERZA AÉREA,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,KR 14 66 24,"BOGOTA, D. C.","BOGOTA, D. C.",4.653379,-74.0636,603861.29,514418.4,18N
3. Maquinaria y Equipo Eléctrico,3.4 Equipos de iluminación,SI,2024-04-29,11212,BOMBILLOS COMPACTOS - SIGNIFY,1.4,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,DIRECCIÓN DE SERVICIOS GENERALES BN6,830143447-3,Ana Maria Suarez,test@portal80.com.co,CL 70 51 31,"BOGOTA, D. C.","BOGOTA, D. C.",4.66618,-74.076995,602373.6,515831.61,18N
